slate_date,lesson_type,source_bucket,label,market_type,game,player,pitcher,outcome,process_grade,lesson,next_action
2026-05-14,gate_discipline,candidate_board,,,All,,,No official BET rows,A,No-BET posture protected against multiple losing leans and props while preserving dry-run integrity.,Keep BET gates strict and explicit.
2026-05-14,source_conflict,postgame_verification,,ML,Cubs @ Braves,,,"Cubs 2, Braves 0",A,Prompt-provided Braves 4-1 context was not May 14. Official source priority prevented wrong grading.,Always verify final score by game date/gamePk before grading.
2026-05-14,source_conflict,postgame_verification,,TOTAL,Phillies @ Red Sox,,,"Phillies 3, Red Sox 1",A,"Prompt-provided Red Sox 3-1 context matched May 13, not May 14.",Use official schedule/boxscore date before accepting public-memory context.
2026-05-14,hr_framework_gap,candidate_board,,HR,Giants @ Dodgers,Will Smith,"Landen Roupp, RHP",HIT,B+,The HR candidate hit but lacked HR fair probability and final gates.,Add HR fair-probability framework before considering HR promotion.
2026-05-14,weather_delay_gate,candidate_board,,HR,Phillies @ Red Sox,Kyle Schwarber / Wilyer Abreu,Ranger Suarez / Jesus Luzardo,Several candidates hit,A-,Delay/relisted-market gates correctly blocked official exposure even though several candidates won.,Keep weather delay and relisted-odds gates mandatory.
2026-05-14,price_discipline,scratch_probability_v1,,HIT,Royals @ White Sox,Bobby Witt Jr.,"Anthony Kay, LHP",HIT but negative edge,A,High hit probability did not overcome the -295 price; v1 correctly treated it as negative edge.,Keep negative-edge prices out of BETs even when actual result hits.
2026-05-14,tiny_edge_cap,scratch_probability_v1,,TB,Giants @ Dodgers / Royals @ White Sox,Kyle Tucker / Vinnie Pasquantino,Landen Roupp / Anthony Kay,LOSS,A,Sub-1 point positive edges both lost; cap below promotion threshold was useful.,Do not lower edge threshold based on one small sample.
2026-05-14,game_side_false_positive,candidate_board,,ML,Cubs @ Braves / Royals @ White Sox,,Ben Brown / Chris Sale; Kris Bubic / Anthony Kay,LOSS,A-,"Two side leans failed, and fair-price/bullpen gates prevented official losses.",Require quantified side fair probability and bullpen verification before ML promotion.
2026-05-14,total_line_sensitivity,candidate_board,,TOTAL,Royals @ White Sox,,Kris Bubic / Anthony Kay,"PUSH at 8.0, LOSS at 7.5",A,Book-specific total changed the grade from push to loss.,"Store exact book, total, and timestamp before any total recommendation."
2026-05-14,external_separation,external_public_predictions,,,Multiple,,,Mixed,A,External/public predictions were useful for QA but not EchoIQ ROI.,Keep EXTERNAL rows excluded from official ROI.
