rank,game_id,game,projected_total,raw_total_confidence,environment_support,market_total,market_edge,recommendation,risk_flags
1,823554,Baltimore Orioles@New York Yankees,unavailable,Low,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
2,823715,Toronto Blue Jays@Minnesota Twins,unavailable,Low,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
3,824685,Arizona Diamondbacks@Chicago Cubs,unavailable,Low,run neutral; HR unfavorable; Opus cites Wrigley cold/wind-in HR suppression of roughly 10-15%; exact Ballpark Pal timestamp unavailable.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
4,825014,Cleveland Guardians@Athletics,unavailable,Low,run favorable; HR favorable; Opus states Sutter Health Park +20% run factor and +29% HR factor; GPT PDF incorrectly lists Oakland Coliseum and lower factors.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; High run factor increases volatility.,9,,WATCHLIST,"lineups,weather,bullpen,recent_form"
5,823388,Cincinnati Reds@Pittsburgh Pirates,unavailable,Low,run unfavorable; HR unfavorable; PNC/cold/rain context; numeric factors from GPT PDF while Opus emphasizes rain/cold uncertainty.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
6,822746,Milwaukee Brewers@Washington Nationals,unavailable,Low,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
7,824771,Houston Astros@Boston Red Sox,unavailable,Low,run neutral; HR favorable; Opus cites Fenway wind-out/HR boost for Yordan Alvarez; GPT PDF park-factor table conflicts lower.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
8,823876,Philadelphia Phillies@Miami Marlins,unavailable,Low,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
9,822988,San Francisco Giants@Tampa Bay Rays,unavailable,Medium,run neutral; HR neutral; Tropicana roof/dome context; exact Ballpark Pal values not supplied in Opus.; Wind blowing in reduces HR confidence.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
10,823067,Los Angeles Dodgers@St. Louis Cardinals,unavailable,Low,"run unfavorable; HR favorable; GPT PDF lists Busch factors, while Opus treats weather as neutral; use low confidence for conflict.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.",unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
11,824284,Texas Rangers@Detroit Tigers,unavailable,Medium,run favorable; HR favorable; GPT PDF cites Comerica as boosted for run/HR context; Opus cites cold weather but wind out.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.; High run factor increases volatility.,8.5,,WATCHLIST,"lineups,weather,bullpen,recent_form"
12,824365,Atlanta Braves@Colorado Rockies,unavailable,Medium,run favorable; HR favorable; Opus states Coors +13% runs and +23% HR; GPT PDF uses larger 1.30/1.50 park factors.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; High run factor increases volatility.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
13,823308,Chicago White Sox@San Diego Padres,unavailable,Medium,run unfavorable; HR unfavorable; Petco pitcher-friendly context; numeric values from GPT PDF.; Wind blowing in reduces HR confidence.,7.5,,WATCHLIST,"lineups,weather,bullpen,recent_form"
14,824042,New York Mets@Los Angeles Angels,unavailable,Medium,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
15,823144,Kansas City Royals@Seattle Mariners,unavailable,High,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,,PASS_UNCERTAINTY,"lineups,weather,bullpen,recent_form"
