slate_date,game_id,game,source,source_type,prediction_bucket,label,market_type,team,player,opponent,pitcher,line,odds,odds_estimated,implied_probability,fair_probability,fair_odds,edge,edge_pct,stake_units,confidence_tier,source_confidence,gates_passed,gate_status,gate_conditions,promotion_eligibility,kill_switch,audit_ledger,rationale_short,rationale_full,status,result,profit_units,grading_notes,source_urls,timestamp
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,deep_research_packet,research_candidate,LEAN,HR,Royals,Bobby Witt Jr.,,"Anthony Kay, LHP",,+450 at Covers; +410 FanDuel,,,,,,,,Lean,B,false,PENDING,,,NOT_CLEARED,,Bobby Witt Jr. HR,"Covers highlighted Witt; 191 wRC+ over prior two weeks, five HR in that stretch, strong vs LHP, Kay righty-damage concerns. Risk/missing gates: Wind in at Rate Field; fair probability not loaded; need live price check.",research_ingested,LOSS,,"Bobby Witt Jr.: 1-for-3, BB, 1 TB, 0 HR. White Sox beat Royals 6-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,deep_research_packet,research_candidate,LEAN,HR,Braves,Matt Olson,,"Ben Brown, RHP",,+320 to +350,,,,,,,,Lean,B,false,PENDING,,,NOT_CLEARED,,Matt Olson HR,Olson power line plus best HR weather among clean night games and Brown likely limited leash. Risk/missing gates: Fair probability; bullpen confirmation; Brown quality indicators; Braves missing Acuna/Murphy.,research_ingested,LOSS,,"Matt Olson: 1-for-4, 1 TB, 0 HR. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,HR,Braves,Drake Baldwin,,"Ben Brown, RHP",,+470,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Drake Baldwin HR,Leadoff with weather help and 11 HR in 43 games on FanDuel HR sheet. Risk/missing gates: Fair probability; bullpen map; Brown-quality/small-sample risk.,research_ingested,LOSS,,"Drake Baldwin: 1-for-4, 1 TB, 0 HR. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,HR,Braves,Michael Harris II,,"Ben Brown, RHP",,+430,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Michael Harris II HR,"Middle-order role, weather boost, and possible early Chicago middle relief. Risk/missing gates: Fair probability; Brown swing-and-miss/run-prevention risk.",research_ingested,LOSS,,"Michael Harris II: 1-for-4, 1 TB, 0 HR. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,HR,Dodgers,Max Muncy,,"Landen Roupp, RHP",,+419,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Max Muncy HR,Shortest Dodgers HR price; heart-of-order role and slight weather bump. Risk/missing gates: Fair probability; full Giants lineup context.,research_ingested,LOSS,,"Max Muncy: 0-for-3, BB, 0 TB, 0 HR. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,HR,Dodgers,Will Smith,,"Landen Roupp, RHP",,+520,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Will Smith HR,Leadoff DH role gives clean PA projection; slight breeze out. Risk/missing gates: Fair probability; Giants lineup; Ohtani rest changes lineup shape.,research_ingested,HIT,,"Will Smith: 1-for-3, HR, 1 RBI, BB, 4 TB. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,HR,Dodgers,Freddie Freeman,,"Landen Roupp, RHP",,+589,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Freddie Freeman HR,Two-hole hitter with stable floor/PA profile and slight weather assist. Risk/missing gates: Fair probability; Giants lineup.,research_ingested,LOSS,,"Freddie Freeman: 0-for-4, 0 TB, 0 HR. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,HR,Dodgers,Kyle Tucker,,"Landen Roupp, RHP",,+590 to +610,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Kyle Tucker HR,Third in lineup with slight weather lift; price near +600. Risk/missing gates: Fair probability; Giants lineup; TB may be cleaner than HR.,research_ingested,LOSS,,"Kyle Tucker: 0-for-4, 0 TB, 0 HR. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Phillies @ Red Sox,Deep Research packet PDF,deep_research_packet,research_candidate,CONDITIONAL,HR,Phillies,Kyle Schwarber,,"Ranger Suarez, LHP",,+390,,,,,,,,Conditional,C,false,CONDITIONAL,Delay resolution; relisted odds; lineup recheck; fair price,,NOT_CLEARED,,Kyle Schwarber HR,"Raw HR ceiling, but delayed/rainy game with Turner illness noise caps usability. Risk/missing gates: Delay resolution; relisted odds; lineup recheck; fair price.",research_ingested,HIT,,"Kyle Schwarber: 1-for-5, HR, 2 RBI, 4 TB. Phillies beat Red Sox 3-1 after delayed-start weather gate. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Phillies @ Red Sox,Deep Research packet PDF,deep_research_packet,research_candidate,CONDITIONAL,HR,Phillies,Bryce Harper,,"Ranger Suarez, LHP",,+590 to +630,,,,,,,,Conditional,C,false,CONDITIONAL,Delay resolution; relisted odds; lineup recheck; fair price,,NOT_CLEARED,,Bryce Harper HR,"Premium lineup slot and market price, but same delay/weather and lefty-lefty risks. Risk/missing gates: Delay resolution; relisted odds; lineup recheck; fair price.",research_ingested,LOSS,,"Bryce Harper: 1-for-4, BB, 1 TB, 0 HR. Phillies beat Red Sox 3-1 after delayed-start weather gate. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,deep_research_packet,research_candidate,LEAN,TB,Royals,Bobby Witt Jr.,,"Anthony Kay, LHP",Over 1.5,-105,,,,,,,,Lean,B,false,PENDING,,,NOT_CLEARED,,Bobby Witt Jr. TB,"Confirmed No. 2 hitter, hot form, and Covers 2.09 TB projection. Risk/missing gates: Fair probability.",research_ingested,LOSS,,Bobby Witt Jr.: 1 TB; Over 1.5 TB missed. White Sox beat Royals 6-2. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Royals @ White Sox,Deep Research packet PDF,deep_research_packet,research_candidate,LEAN,HIT,Royals,Bobby Witt Jr.,,"Anthony Kay, LHP",Over 0.5,-295,,,,,,,,Lean,B,false,PENDING,,,NOT_CLEARED,,Bobby Witt Jr. HIT,High-floor hit market supported by lineup slot and recent form; not a parlay recommendation. Risk/missing gates: Fair probability; steep price.,research_ingested,HIT,,"Bobby Witt Jr.: 1 hit; Over 0.5 hit cashed, but v1 fair probability showed negative edge at -295. Dry-run candidate only; no official BET/stake was created.",/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,TB,Dodgers,Freddie Freeman,,"Landen Roupp, RHP",Over 1.5,+125,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Freddie Freeman TB,Covers 1.67 TB projection; price/slot support more than pure mismatch. Risk/missing gates: Fair probability; Giants lineup.,research_ingested,LOSS,,Freddie Freeman: 0 TB; Over 1.5 TB missed. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Giants @ Dodgers,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,TB,Dodgers,Kyle Tucker,,"Landen Roupp, RHP",Over 1.5,+170,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Kyle Tucker TB,Covers 1.59 TB projection; TB cleaner fit than HR. Risk/missing gates: Fair probability; Giants lineup.,research_ingested,LOSS,,Kyle Tucker: 0 TB; Over 1.5 TB missed despite tiny positive v1 edge. Dodgers beat Giants 5-2. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
2026-05-14,,Cubs @ Braves,Deep Research packet PDF,deep_research_packet,research_candidate,WATCHLIST,TB,Braves,Matt Olson,,"Ben Brown, RHP",Over 1.5,+165 to +190,,,,,,,,Watchlist,B,false,PENDING,,,NOT_CLEARED,,Matt Olson TB,Aggressive Atlanta price with big-season power and favorable weather. Risk/missing gates: Fair probability; bullpen check.,research_ingested,LOSS,,Matt Olson: 1 TB; Over 1.5 TB missed. Cubs beat Braves 2-0. Dry-run candidate only; no official BET/stake was created.,/Users/christianmay/Downloads/EchoIQ v3 research packet for May 14 MLB slate.pdf,2026-05-14T18:39:00-04:00
