game,missing_data_type,impact,severity,recommendation
Baltimore Orioles@New York Yankees,ballpark_pal,Ballpark Pal factors unavailable; run/HR environment factors are not adjusted.,low,Add ballpark_pal.csv when available.
Baltimore Orioles@New York Yankees,odds,Final-card betting value cannot be verified without prices.,critical,Add manual odds/prop prices.
Toronto Blue Jays@Minnesota Twins,ballpark_pal,Ballpark Pal factors unavailable; run/HR environment factors are not adjusted.,low,Add ballpark_pal.csv when available.
Toronto Blue Jays@Minnesota Twins,odds,Final-card betting value cannot be verified without prices.,critical,Add manual odds/prop prices.
Arizona Diamondbacks@Chicago Cubs,props,Prop boards cannot populate for this game.,critical,Add verified prop rows.
Arizona Diamondbacks@Chicago Cubs,odds,Final-card betting value cannot be verified without prices.,critical,Add manual odds/prop prices.
Cleveland Guardians@Athletics,props,Prop boards cannot populate for this game.,critical,Add verified prop rows.
Milwaukee Brewers@Washington Nationals,ballpark_pal,Ballpark Pal factors unavailable; run/HR environment factors are not adjusted.,low,Add ballpark_pal.csv when available.
Milwaukee Brewers@Washington Nationals,odds,Final-card betting value cannot be verified without prices.,critical,Add manual odds/prop prices.
Houston Astros@Boston Red Sox,odds,Final-card betting value cannot be verified without prices.,critical,Add manual odds/prop prices.
Philadelphia Phillies@Miami Marlins,ballpark_pal,Ballpark Pal factors unavailable; run/HR environment factors are not adjusted.,low,Add ballpark_pal.csv when available.
Philadelphia Phillies@Miami Marlins,props,Prop boards cannot populate for this game.,critical,Add verified prop rows.
San Francisco Giants@Tampa Bay Rays,props,Prop boards cannot populate for this game.,critical,Add verified prop rows.
Chicago White Sox@San Diego Padres,props,Prop boards cannot populate for this game.,critical,Add verified prop rows.
New York Mets@Los Angeles Angels,lineups,Manual lineups missing; player role/volume confidence remains low.,medium,Add lineups.csv or JSON lineups.
New York Mets@Los Angeles Angels,ballpark_pal,Ballpark Pal factors unavailable; run/HR environment factors are not adjusted.,low,Add ballpark_pal.csv when available.
New York Mets@Los Angeles Angels,props,Prop boards cannot populate for this game.,critical,Add verified prop rows.
New York Mets@Los Angeles Angels,odds,Final-card betting value cannot be verified without prices.,critical,Add manual odds/prop prices.
Kansas City Royals@Seattle Mariners,lineups,Manual lineups missing; player role/volume confidence remains low.,medium,Add lineups.csv or JSON lineups.
Kansas City Royals@Seattle Mariners,ballpark_pal,Ballpark Pal factors unavailable; run/HR environment factors are not adjusted.,low,Add ballpark_pal.csv when available.
Baltimore Orioles@New York Yankees,live_or_closed_status,Official MLB late refresh showed this game final; any prior report prop/odds prices are unavailable for pregame final-card use.,critical,Do not promote any BAL/NYY candidate from this package.
Toronto Blue Jays@Minnesota Twins,live_or_closed_status,Official MLB late refresh showed this game no longer pregame; Dylan Cease O6.5 K was cut from current-market eligibility.,critical,Do not promote Cease from this package.
Arizona Diamondbacks@Chicago Cubs,live_or_closed_status,Official MLB late refresh showed this game no longer pregame.,critical,Do not promote any ARI/CHC candidate from this package.
Cleveland Guardians@Athletics,live_status,Official MLB late refresh showed CLE/OAK live; the Opus Over around 9 was cut from current-market eligibility.,critical,Do not promote CLE/OAK total from this package.
Cincinnati Reds@Pittsburgh Pirates,live_status,Official MLB late refresh showed CIN/PIT live; CIN ML was cut from current-market eligibility.,critical,Do not promote CIN ML from this package.
Milwaukee Brewers@Washington Nationals,live_status,Official MLB late refresh showed MIL/WSH live; James Wood HR was cut from current-market eligibility.,critical,Do not promote James Wood HR from this package.
Houston Astros@Boston Red Sox,live_status,Official MLB late refresh showed HOU/BOS live; Yordan Alvarez HR was cut from current-market eligibility.,critical,Do not promote Yordan Alvarez HR from this package.
Philadelphia Phillies@Miami Marlins,live_status,Official MLB late refresh showed PHI/MIA live; Marlins ML was cut from current-market eligibility.,critical,Do not promote Marlins ML from this package.
Atlanta Braves@Colorado Rockies,starter_context_conflict,"MLB Stats API and FanDuel Olson page list Brennan Bernardino, while some preview/odds pages still list TBA or Chase Dollander.",medium,Verify official starters again before placing ATL/COL props.
Atlanta Braves@Colorado Rockies,prop_price_variance,Chris Sale O7.5 K was refreshed at FanDuel +106; other free pages showed plus-money but not identical prices.,medium,Use the actual book price available before bet placement; pass if it falls below playable threshold.
