rank,game_id,game,team,opponent,side,raw_probability,fair_price,raw_prediction_score,stat_support,pitch_type_support,environment_support,role_volume_support,risk_flags,market_value,final_recommendation
1,823554,Baltimore Orioles@New York Yankees,Baltimore Orioles,New York Yankees,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
2,823554,Baltimore Orioles@New York Yankees,New York Yankees,Baltimore Orioles,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
3,823715,Toronto Blue Jays@Minnesota Twins,Toronto Blue Jays,Minnesota Twins,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
4,823715,Toronto Blue Jays@Minnesota Twins,Minnesota Twins,Toronto Blue Jays,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR neutral; Wind blowing in reduces HR confidence.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
5,824685,Arizona Diamondbacks@Chicago Cubs,Arizona Diamondbacks,Chicago Cubs,away,0.5,-100,50.0,unavailable,unavailable,run neutral; HR unfavorable; Opus cites Wrigley cold/wind-in HR suppression of roughly 10-15%; exact Ballpark Pal timestamp unavailable.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
6,824685,Arizona Diamondbacks@Chicago Cubs,Chicago Cubs,Arizona Diamondbacks,home,0.5,-100,50.0,unavailable,unavailable,run neutral; HR unfavorable; Opus cites Wrigley cold/wind-in HR suppression of roughly 10-15%; exact Ballpark Pal timestamp unavailable.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
7,825014,Cleveland Guardians@Athletics,Cleveland Guardians,Athletics,away,0.5,-100,50.0,unavailable,unavailable,run favorable; HR favorable; Opus states Sutter Health Park +20% run factor and +29% HR factor; GPT PDF incorrectly lists Oakland Coliseum and lower factors.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; High run factor increases volatility.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
8,825014,Cleveland Guardians@Athletics,Athletics,Cleveland Guardians,home,0.5,-100,50.0,unavailable,unavailable,run favorable; HR favorable; Opus states Sutter Health Park +20% run factor and +29% HR factor; GPT PDF incorrectly lists Oakland Coliseum and lower factors.; Ballpark Pal HR factor boosts power.; Wind blowing in reduces HR confidence.; High run factor increases volatility.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
9,823388,Cincinnati Reds@Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,away,0.5,-100,50.0,unavailable,unavailable,run unfavorable; HR unfavorable; PNC/cold/rain context; numeric factors from GPT PDF while Opus emphasizes rain/cold uncertainty.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
10,823388,Cincinnati Reds@Pittsburgh Pirates,Pittsburgh Pirates,Cincinnati Reds,home,0.5,-100,50.0,unavailable,unavailable,run unfavorable; HR unfavorable; PNC/cold/rain context; numeric factors from GPT PDF while Opus emphasizes rain/cold uncertainty.; Wind blowing in reduces HR confidence.; Cold weather downgrades carry.,unavailable,"lineups,weather,bullpen,recent_form",not_evaluated,PASS_UNCERTAINTY
